,sex,income
399,female,100.0
400,female,280.0
401,female,203.0
402,male,327.0
403,female,
404,female,
405,female,581.0
406,male,1005.0
407,male,
408,female,30.0
409,male,450.0
410,female,417.0
411,male,
412,female,
413,male,
414,female,378.0
415,female,
416,female,280.0
417,male,
418,female,60.0
419,male,180.0
420,female,
421,male,
422,female,221.0
423,female,
424,female,180.0
425,female,
426,male,367.0
427,female,213.0
428,female,
429,female,
430,female,15.0
431,female,
432,male,210.0
433,female,
434,male,
435,female,
436,male,
437,female,
438,male,678.0
439,female,
440,male,
441,male,290.0
442,female,
443,male,209.0
444,male,221.0
445,male,133.0
446,female,
447,male,583.0
448,female,423.0
449,male,
450,female,333.0
451,male,704.0
452,female,
453,male,
454,male,
455,male,
456,female,
457,male,
458,male,
459,female,
460,female,
461,female,
462,male,
463,female,
464,male,429.0
465,female,60.0
466,male,
467,female,281.0
468,female,
469,male,404.0
470,female,
471,female,
472,male,
473,female,
474,female,
475,female,
476,male,300.0
477,female,
478,female,
479,male,
480,female,
481,male,
482,male,
483,male,
484,female,
485,male,292.0
486,female,
487,male,
488,female,
489,male,433.0
490,female,
491,male,
492,male,
493,female,130.0
494,female,
495,female,
496,male,
497,female,
498,female,
499,male,677.0
500,female,
501,male,330.0
502,female,
503,female,
504,male,160.0
505,female,250.0
506,male,333.0
507,male,
508,female,378.0
509,male,
510,female,
511,male,
512,female,
513,male,
514,male,
515,female,
516,female,195.0
517,male,
518,female,
519,male,
520,female,
521,male,
522,female,
523,male,
524,female,
525,male,412.0
526,female,
527,female,
528,female,
529,female,225.0
530,male,300.0
531,female,
532,male,
533,female,180.0
534,male,400.0
535,male,
536,female,
537,female,180.0
538,male,600.0
539,female,
540,female,
541,male,160.0
542,female,23.0
543,female,263.0
544,male,308.0
545,female,
546,male,
547,female,
548,female,
549,male,220.0
550,male,30.0
551,female,
552,male,917.0
553,female,
554,male,
555,male,
556,female,
557,female,342.0
558,male,500.0
559,female,
560,female,
561,male,
562,female,125.0
563,male,667.0
564,female,81.0
565,female,
566,male,
567,male,
568,female,
569,male,
570,female,
571,female,
572,female,120.0
573,female,
574,male,357.0
575,male,
576,male,558.0
577,female,525.0
578,female,
579,male,
580,female,109.0
581,male,628.0
582,female,135.0
583,female,
584,female,
585,male,
586,female,
587,male,
588,male,
589,female,
590,male,
591,male,
592,female,
593,female,150.0
594,male,
595,female,
596,female,
597,male,394.0
598,female,
599,male,
600,male,263.0
601,female,29.0
602,male,658.0
603,female,202.0
604,male,150.0
605,male,
606,female,350.0
607,male,
608,female,215.0
609,female,60.0
610,male,267.0
611,female,
612,male,
613,female,
614,male,
615,female,
616,male,4.0
617,male,
618,female,250.0
619,male,
620,female,
621,male,
622,female,
623,male,
624,female,
625,male,
626,female,
627,male,
628,male,
629,female,
630,female,159.0
631,male,
632,female,
633,female,400.0
634,female,259.0
635,female,200.0
636,male,231.0
637,female,110.0
638,male,
639,male,
640,female,
641,male,
642,female,
643,male,
644,male,153.0
645,male,247.0
646,male,
647,female,163.0
648,female,
649,female,
650,female,428.0
651,male,
652,female,
653,female,495.0
654,male,508.0
655,female,
656,male,
657,male,
658,female,168.0
659,female,175.0
660,male,
661,female,
662,female,
663,male,294.0
664,male,
665,female,
666,female,
667,male,
668,male,146.0
669,female,179.0
670,male,
671,female,
672,female,
673,male,
674,female,
675,male,198.0
676,female,
677,female,247.0
678,female,200.0
679,male,
680,female,
681,male,
682,female,
683,male,326.0
684,female,
685,female,
686,male,
687,female,
688,female,
689,male,
690,female,163.0
691,female,358.0
692,male,
693,male,
694,female,
695,female,
696,female,
697,male,400.0
698,female,130.0
699,male,
700,female,
701,female,
702,male,
703,female,
704,female,168.0
705,male,335.0
706,female,
707,male,
708,female,305.0
709,male,270.0
710,female,
711,female,
712,female,
713,female,209.0
714,male,
715,male,560.0
716,female,75.0
717,male,623.0
718,female,
719,female,
720,male,210.0
721,female,
722,female,140.0
723,female,
724,male,
725,female,
726,female,333.0
727,female,229.0
728,male,
729,female,63.0
730,male,
731,male,
732,male,313.0
733,female,
734,female,
735,female,510.0
736,male,378.0
737,male,
738,female,
739,female,
740,female,
741,male,610.0
742,female,
743,male,278.0
744,female,108.0
745,female,188.0
746,female,
747,male,
748,male,
749,female,130.0
750,female,
751,female,
752,female,
753,male,
754,female,180.0
755,female,149.0
756,female,
757,female,
758,female,
759,female,
760,female,
761,female,419.0
762,male,
763,female,
764,female,
765,male,350.0
766,male,353.0
767,female,100.0
768,female,181.0
769,male,
770,male,
771,male,763.0
772,female,60.0
773,female,213.0
774,female,
775,male,
776,female,
777,male,240.0
778,female,
779,female,250.0
780,female,230.0
781,female,
782,male,
783,female,
784,male,269.0
785,female,187.0
786,female,
787,female,
788,male,
789,female,
790,male,168.0
791,female,
792,male,
793,female,182.0
794,female,
795,male,350.0
796,male,
797,female,
798,male,
799,female,
800,female,
801,female,
802,male,417.0
803,female,
804,female,
805,male,
806,female,
807,male,
808,female,
809,male,
810,female,
811,male,
812,female,
813,female,367.0
814,female,
815,male,
816,male,
817,female,
818,male,480.0
819,female,
820,female,
821,male,
822,male,350.0
823,female,267.0
824,female,
825,male,
826,male,583.0
827,female,
828,female,175.0
829,male,
830,male,
831,female,
832,male,
833,female,
834,female,27.0
835,male,
836,female,
837,male,58.0
838,female,
839,male,349.0
840,female,
841,male,
842,male,
843,male,
844,female,
845,female,
846,female,
847,female,73.0
848,male,120.0
849,female,
850,male,
851,female,417.0
852,male,
853,female,
854,female,201.0
855,female,
856,male,1417.0
857,female,
858,male,
859,female,
860,male,
861,female,
862,female,
863,male,
864,male,
865,female,99.0
866,female,194.0
867,female,
868,male,750.0
869,female,
870,female,130.0
871,female,200.0
872,male,
873,male,
874,female,
875,male,634.0
876,female,
877,male,259.0
878,male,
879,female,27.0
880,male,
881,male,
882,female,
883,male,524.0
884,female,
885,female,
886,male,842.0
887,female,160.0
888,female,
889,male,515.0
890,female,
891,male,
892,female,
893,male,649.0
894,female,508.0
895,female,
896,male,410.0
897,female,400.0
898,male,
899,male,
900,male,
901,male,426.0
902,female,208.0
903,female,
904,female,
905,male,1585.0
906,female,
907,female,
908,male,417.0
909,female,458.0
910,female,
911,female,230.0
912,female,200.0
913,female,173.0
914,female,200.0
915,male,365.0
916,female,
917,female,
918,male,
919,female,
920,male,
921,male,500.0
922,female,
923,female,
924,female,
925,male,
926,female,108.0
927,female,
928,male,322.0
929,female,258.0
930,male,
931,female,
932,male,210.0
933,male,682.0
934,female,
935,male,370.0
936,male,583.0
937,female,
938,male,
939,male,
940,female,
941,female,
942,female,414.0
943,male,500.0
944,male,1000.0
945,female,
946,female,
947,female,
948,male,222.0
949,female,
950,male,230.0
951,male,
952,female,
953,male,52.0
954,female,
955,female,
956,male,
957,male,
958,male,222.0
959,female,
960,female,
961,female,
962,female,
963,female,
964,female,673.0
965,male,250.0
966,male,358.0
967,female,342.0
968,female,
969,male,
970,female,
971,male,
972,female,
973,male,
974,male,633.0
975,female,
976,male,
977,male,
978,female,150.0
979,female,72.0
980,female,250.0
981,female,520.0
982,male,623.0
983,female,
984,male,
985,female,27.0
986,female,
987,male,
988,female,
989,female,
990,male,
991,female,
992,male,450.0
993,female,110.0
994,male,
995,female,
996,male,542.0
997,female,
998,female,
999,female,
1000,male,285.0
1001,female,260.0
1002,female,
1003,female,
1004,male,
1005,female,
1006,male,342.0
1007,male,
1008,female,175.0
1009,female,
1010,male,249.0
1011,female,65.0
1012,male,251.0
1013,male,
1014,male,250.0
1015,female,
1016,female,291.0
1017,male,300.0
1018,male,383.0
1019,female,199.0
1020,female,
1021,male,369.0
1022,female,660.0
1023,female,
1024,male,
1025,male,550.0
1026,female,
1027,male,
1028,female,
1029,male,295.0
1030,female,171.0
1031,male,
1032,male,
1033,male,583.0
1034,female,167.0
1035,female,30.0
1036,male,
1037,male,500.0
1038,female,200.0
1039,female,
1040,female,
1041,male,
1042,male,370.0
1043,female,179.0
1044,male,
1045,female,
1046,male,
1047,female,
1048,female,
1049,female,
1050,male,398.0
1051,female,
1052,female,
1053,female,
1054,male,
1055,female,
1056,male,217.0
1057,male,583.0
1058,female,260.0
1059,male,
1060,male,
1061,female,101.0
1062,female,125.0
1063,male,80.0
1064,male,
1065,female,
1066,male,
1067,female,
1068,female,225.0
1069,female,235.0
1070,male,425.0
1071,male,
1072,female,
1073,female,258.0
1074,female,163.0
1075,male,
1076,male,
1077,female,
1078,male,310.0
1079,male,317.0
1080,female,54.0
1081,female,
1082,male,
1083,male,
1084,female,197.0
1085,male,
1086,female,218.0
1087,female,163.0
1088,male,542.0
1089,female,
1090,female,
1091,male,199.0
1092,female,
1093,male,80.0
1094,male,250.0
1095,male,
1096,female,
1097,male,200.0
1098,female,250.0
1099,female,
1100,male,
1101,female,
1102,female,27.0
1103,male,
1104,female,150.0
1105,female,
1106,female,
1107,female,
1108,male,
1109,female,
1110,male,442.0
1111,female,
1112,male,
1113,male,
1114,male,
1115,male,187.0
1116,male,
1117,female,
1118,female,
1119,male,
1120,female,464.0
1121,male,
1122,female,
1123,male,500.0
1124,female,667.0
1125,male,
1126,female,
1127,male,292.0
1128,female,283.0
1129,female,
1130,male,
1131,male,
1132,male,
1133,female,
1134,male,270.0
1135,female,130.0
1136,female,176.0
1137,female,158.0
1138,male,
1139,male,
1140,female,
1141,female,
1142,male,225.0
1143,male,
1144,female,
1145,male,
1146,male,170.0
1147,female,125.0
1148,male,
1149,male,200.0
1150,female,
1151,female,
1152,female,417.0
1153,male,250.0
1154,male,185.0
1155,male,410.0
1156,female,
1157,male,
1158,female,
1159,female,
1160,female,120.0
1161,female,108.0
1162,male,
1163,female,
1164,male,468.0
1165,male,
1166,female,
1167,male,
1168,female,180.0
1169,female,208.0
1170,female,
1171,female,292.0
1172,male,
1173,female,
1174,male,
1175,male,
1176,male,
1177,male,
1178,female,
1179,female,108.0
1180,female,
1181,male,
1182,female,
1183,male,
1184,male,150.0
1185,male,
1186,female,
1187,female,
1188,female,
1189,male,333.0
1190,male,
1191,female,
1192,male,260.0
1193,female,170.0
1194,male,
1195,male,
1196,female,
1197,male,
1198,female,
1199,male,
1200,female,180.0
1201,male,600.0
1202,female,
1203,male,
1204,male,
1205,male,750.0
1206,female,
1207,male,
1208,female,
1209,male,
1210,male,
1211,female,
1212,female,205.0
1213,male,
1214,female,
1215,female,
1216,female,27.0
1217,female,
1218,male,489.0
1219,female,
1220,female,
1221,female,
1222,female,27.0
1223,male,303.0
1224,female,
1225,female,
1226,female,
1227,male,
1228,female,550.0
1229,male,
1230,male,
1231,male,
1232,female,569.0
1233,male,736.0
1234,female,158.0
1235,female,40.0
1236,female,
1237,male,
1238,male,
1239,female,
1240,male,123.0
1241,male,
1242,male,
1243,female,
1244,female,254.0
1245,male,327.0
1246,female,178.0
1247,male,
1248,female,
1249,male,
1250,female,
1251,female,195.0
1252,female,230.0
1253,male,
1254,female,
1255,female,509.0
1256,female,
1257,male,
1258,male,880.0
1259,female,358.0
1260,male,
1261,female,
1262,male,50.0
1263,female,
1264,male,392.0
1265,male,
1266,male,
1267,female,
1268,male,
1269,male,
1270,female,
1271,male,673.0
1272,female,200.0
1273,female,
1274,male,1083.0
1275,female,
1276,female,
1277,female,
1278,male,
1279,female,140.0
1280,male,30.0
1281,female,
1282,male,
1283,female,658.0
1284,female,
1285,male,
1286,female,215.0
1287,female,263.0
1288,female,
1289,male,320.0
1290,female,180.0
1291,female,
1292,male,
1293,female,
1294,male,
1295,male,
1296,female,
1297,female,
1298,male,
1299,male,
1300,female,
1301,male,
1302,female,848.0
1303,female,
1304,male,
1305,female,
1306,male,
1307,female,180.0
1308,female,183.0
1309,male,1375.0
1310,female,
1311,female,213.0
1312,female,
1313,male,563.0
1314,female,
1315,male,
1316,male,
1317,female,
1318,female,
1319,female,
1320,male,
1321,female,230.0
1322,male,375.0
1323,female,107.0
1324,male,
1325,male,
1326,female,
1327,male,
1328,female,
1329,female,300.0
1330,female,330.0
1331,male,
1332,male,
1333,male,1292.0
1334,female,
1335,female,
1336,male,
1337,female,
1338,female,
1339,male,
1340,female,
1341,female,
1342,male,
1343,female,
1344,male,
1345,female,125.0
1346,female,253.0
1347,female,
1348,male,
1349,female,
1350,male,474.0
1351,female,483.0
1352,female,
1353,male,
1354,male,
1355,female,
1356,female,
1357,male,
1358,female,
1359,male,
1360,female,360.0
1361,female,
1362,male,
1363,female,
1364,male,292.0
1365,female,100.0
1366,male,
1367,male,
1368,male,
1369,male,
1370,female,
1371,male,
1372,female,150.0
1373,male,
1374,male,
1375,female,
1376,female,230.0
1377,male,
1378,female,27.0
1379,male,
1380,female,
1381,female,266.0
1382,female,
1383,male,
1384,female,
1385,male,
1386,female,
1387,male,
1388,female,110.0
1389,female,
1390,male,
1391,male,
1392,female,
1393,male,341.0
1394,female,
1395,female,
1396,male,
1397,male,
1398,female,
1399,female,
1400,female,
1401,female,60.0
1402,male,160.0
1403,female,168.0
1404,female,
1405,female,
1406,female,130.0
1407,female,60.0
1408,male,261.0
1409,male,350.0
1410,female,200.0
1411,male,
1412,male,
1413,female,55.0
1414,female,
1415,male,430.0
1416,female,132.0
1417,female,215.0
1418,female,193.0
1419,female,80.0
1420,male,260.0
1421,female,
1422,female,85.0
1423,male,150.0
1424,female,
1425,male,
1426,female,
1427,male,418.0
1428,female,
1429,male,364.0
1430,female,250.0
1431,male,400.0
1432,male,208.0
1433,male,210.0
1434,male,
1435,female,
1436,male,
1437,female,243.0
1438,male,
1439,female,
1440,male,18.0
1441,male,755.0
1442,female,737.0
1443,male,
1444,female,333.0
1445,male,317.0
1446,female,540.0
1447,male,
1448,female,
1449,male,459.0
1450,male,
1451,male,
1452,female,358.0
1453,male,
1454,female,
1455,male,150.0
1456,male,212.0
1457,female,
1458,female,
1459,female,
1460,male,226.0
1461,male,162.0
1462,female,110.0
1463,male,259.0
1464,female,111.0
1465,male,299.0
1466,female,
1467,female,40.0
1468,female,550.0
1469,male,718.0
1470,female,
1471,female,
1472,male,167.0
1473,female,167.0
1474,male,
1475,female,
1476,male,
1477,female,
1478,male,
1479,female,
1480,male,548.0
1481,male,
1482,female,
1483,male,
1484,male,680.0
1485,female,
1486,female,225.0
1487,male,
1488,female,
1489,male,
1490,female,
1491,female,335.0
1492,male,222.0
1493,female,105.0
1494,male,64.0
1495,female,55.0
1496,male,
1497,female,
1498,male,
1499,female,
1500,female,358.0
1501,male,
1502,female,
1503,female,
1504,male,
1505,female,
1506,female,190.0
1507,male,
1508,male,
1509,female,320.0
1510,male,442.0
1511,male,
1512,female,
1513,male,183.0
1514,male,35.0
1515,female,
1516,female,
1517,male,266.0
1518,female,120.0
1519,male,
1520,male,250.0
1521,female,173.0
1522,female,60.0
1523,male,
1524,male,
1525,female,
1526,female,300.0
1527,female,215.0
1528,female,220.0
1529,male,
1530,male,
1531,female,150.0
1532,male,333.0
1533,female,
1534,female,
1535,male,
1536,male,
1537,female,
1538,female,
1539,female,174.0
1540,male,
1541,female,
1542,female,
1543,male,231.0
1544,male,250.0
1545,male,
1546,female,
1547,male,
1548,male,50.0
1549,male,
1550,male,
1551,female,
1552,female,158.0
1553,female,
1554,female,
1555,female,
1556,male,200.0
1557,male,
1558,female,
1559,male,200.0
1560,male,
1561,female,
1562,female,
1563,male,
1564,male,
1565,female,120.0
1566,male,386.0
1567,female,
1568,female,
1569,female,
1570,male,458.0
1571,female,
1572,male,662.0
1573,female,
1574,female,
1575,male,
1576,female,
1577,male,
1578,male,
1579,female,
1580,male,
1581,female,
1582,male,
1583,female,
1584,male,
1585,female,
1586,male,
1587,male,416.0
1588,female,378.0
1589,female,
1590,male,
1591,male,
1592,female,
1593,female,
1594,male,
1595,male,128.0
1596,female,167.0
1597,male,
1598,female,
1599,male,
1600,female,
1601,male,200.0
1602,female,
1603,male,340.0
1604,male,
1605,female,
1606,male,
1607,male,288.0
1608,female,
1609,female,
1610,female,157.0
1611,female,
1612,male,
1613,female,27.0
1614,male,
1615,female,
1616,male,
1617,female,
1618,male,
1619,female,
1620,male,
1621,female,
1622,female,
1623,male,
1624,female,
1625,female,144.0
1626,male,260.0
1627,male,186.0
1628,female,
1629,male,
1630,male,
1631,female,350.0
1632,male,194.0
1633,male,163.0
1634,female,
1635,female,130.0
1636,female,
1637,female,
1638,male,
1639,female,
1640,female,27.0
1641,male,144.0
1642,female,
1643,male,410.0
1644,female,
1645,female,
1646,male,
1647,female,
1648,female,27.0
1649,female,168.0
1650,male,
1651,male,
1652,male,
1653,female,
1654,male,
1655,female,
1656,female,200.0
1657,female,
1658,female,
1659,male,364.0
1660,female,170.0
1661,female,
1662,female,
1663,male,
1664,male,27.0
1665,female,200.0
1666,male,679.0
1667,female,567.0
1668,male,
1669,male,
1670,female,
1671,male,214.0
1672,female,
1673,female,183.0
1674,male,
1675,female,
1676,male,130.0
1677,male,542.0
1678,male,
1679,female,
1680,female,
1681,male,220.0
1682,female,
1683,female,
1684,female,
1685,male,
1686,female,360.0
1687,female,180.0
1688,male,
1689,female,
1690,female,
1691,male,375.0
1692,male,180.0
1693,female,
1694,male,210.0
1695,male,208.0
1696,male,190.0
1697,female,
1698,male,
1699,female,
1700,male,483.0
1701,female,
1702,male,
1703,male,220.0
1704,female,
1705,male,491.0
1706,male,665.0
1707,female,
1708,male,
1709,female,71.0
1710,female,502.0
1711,male,552.0
1712,female,
1713,male,
1714,female,
1715,male,
1716,female,
1717,female,
1718,male,
1719,female,
1720,female,240.0
1721,male,312.0
1722,female,
1723,male,
1724,male,
1725,male,1246.0
1726,female,
1727,female,500.0
1728,male,
1729,male,625.0
1730,female,
1731,male,
1732,male,625.0
1733,female,650.0
1734,female,
1735,male,
1736,female,
1737,female,
1738,female,27.0
1739,male,
1740,female,
1741,male,20.0
1742,female,80.0
1743,female,
1744,male,
1745,female,100.0
1746,female,68.0
1747,male,917.0
1748,female,
1749,female,
1750,male,
1751,male,760.0
1752,female,80.0
1753,male,
1754,female,
1755,male,
1756,female,
1757,male,
1758,female,
1759,male,700.0
1760,female,716.0
1761,male,
1762,male,
1763,male,
1764,female,
1765,male,
1766,female,168.0
1767,female,255.0
1768,female,261.0
1769,female,
1770,male,50.0
1771,male,333.0
1772,male,560.0
1773,female,
1774,male,285.0
1775,female,238.0
1776,male,
1777,female,
1778,male,808.0
1779,female,160.0
1780,female,
1781,male,
1782,female,
1783,male,536.0
1784,female,220.0
1785,male,446.0
1786,male,370.0
1787,female,
1788,male,
1789,male,
1790,female,
1791,male,
1792,female,
1793,female,199.0
1794,male,275.0
1795,male,
1796,male,204.0
1797,female,
1798,female,106.0
1799,female,106.0
1800,female,55.0
1801,female,
1802,male,
1803,female,103.0
1804,male,
1805,male,166.0
1806,female,
1807,male,70.0
1808,female,42.0
1809,female,
1810,male,279.0
1811,female,
1812,male,
1813,female,
1814,male,
1815,male,
1816,female,
1817,female,110.0
1818,male,289.0
1819,male,
1820,female,
1821,male,306.0
1822,male,1167.0
1823,female,
1824,male,
1825,female,
1826,female,
1827,male,168.0
1828,female,
1829,male,417.0
1830,male,
1831,female,225.0
1832,female,
1833,male,
1834,male,304.0
1835,female,
1836,female,
1837,male,
1838,female,
1839,female,
1840,male,
1841,female,
1842,female,
1843,male,
1844,female,
1845,female,233.0
1846,male,237.0
1847,male,400.0
1848,female,
1849,female,421.0
1850,male,427.0
1851,male,
1852,female,
1853,male,166.0
1854,female,
1855,male,
1856,female,
1857,male,50.0
1858,female,230.0
1859,male,410.0
1860,male,298.0
1861,female,
1862,female,
1863,male,
1864,male,865.0
1865,female,60.0
1866,male,
1867,female,158.0
1868,male,197.0
1869,female,71.0
1870,female,210.0
1871,female,224.0
1872,male,20.0
1873,female,27.0
1874,male,
1875,female,185.0
1876,female,
1877,female,195.0
1878,male,
1879,female,55.0
1880,male,414.0
1881,female,
1882,female,104.0
1883,male,
1884,female,
1885,male,292.0
1886,male,255.0
1887,female,
1888,male,312.0
1889,female,203.0
1890,female,
1891,female,
1892,male,
1893,female,262.0
1894,male,
1895,female,
1896,female,
1897,female,
1898,male,30.0
1899,female,27.0
1900,male,
1901,female,
1902,male,
1903,female,
1904,male,265.0
1905,male,
1906,female,163.0
1907,male,
1908,male,204.0
1909,male,516.0
1910,female,250.0
1911,male,
1912,female,
1913,male,434.0
1914,female,
1915,male,267.0
1916,female,261.0
1917,male,
1918,female,
1919,female,
1920,male,170.0
1921,female,
1922,female,
1923,male,254.0
1924,female,35.0
1925,female,273.0
1926,male,245.0
1927,male,
1928,female,
1929,female,
1930,male,400.0
1931,female,
1932,male,
1933,female,
1934,female,27.0
1935,female,180.0
1936,male,
1937,female,
1938,male,480.0
1939,female,
1940,male,
1941,male,
1942,female,
1943,female,
1944,male,280.0
1945,female,258.0
1946,female,
1947,female,
1948,female,
1949,male,
1950,female,
1951,female,
1952,male,243.0
1953,male,
1954,female,
1955,female,
1956,male,
1957,female,
1958,male,
1959,female,
1960,male,
1961,female,
1962,male,
1963,female,
1964,female,
1965,male,
1966,female,125.0
1967,male,
1968,female,
1969,female,
1970,male,
1971,female,200.0
1972,female,367.0
1973,male,
1974,female,
1975,female,180.0
1976,male,325.0
1977,female,
1978,male,
1979,female,
1980,female,
1981,female,
1982,male,200.0
1983,female,230.0
1984,male,500.0
1985,female,517.0
1986,female,
1987,male,
1988,female,
1989,male,
1990,female,
1991,female,
1992,female,
1993,male,
1994,female,
1995,female,200.0
1996,male,462.0
1997,female,
1998,female,
1999,female,
2000,female,
2001,male,383.0
2002,female,217.0
2003,female,225.0
2004,male,
2005,female,
2006,female,
2007,female,
2008,female,
2009,female,130.0
2010,male,265.0
2011,male,265.0
2012,male,
2013,female,
2014,female,160.0
2015,male,
2016,male,
2017,female,
2018,male,266.0
2019,male,
2020,female,27.0
2021,male,200.0
2022,female,
2023,male,
2024,female,
2025,male,250.0
2026,male,
2027,female,
2028,male,219.0
2029,male,200.0
2030,male,
2031,female,
2032,male,237.0
2033,female,216.0
2034,female,
2035,male,
2036,female,
2037,male,
2038,male,
2039,female,
2040,male,
2041,female,27.0
2042,female,
2043,male,
2044,female,
2045,male,
2046,female,
2047,male,128.0
2048,male,252.0
2049,male,
2050,female,
2051,male,
2052,female,207.0
2053,female,191.0
2054,female,208.0
2055,male,
2056,male,180.0
2057,female,
2058,female,90.0
2059,female,
2060,female,
2061,female,27.0
2062,female,
2063,male,
2064,female,
2065,male,180.0
2066,female,
2067,male,
2068,female,27.0
2069,female,
2070,female,
2071,female,
2072,male,
2073,female,27.0
2074,male,
2075,female,
2076,male,
2077,female,
2078,female,
2079,female,
2080,male,
2081,male,
2082,female,
2083,female,
2084,female,230.0
2085,male,
2086,female,148.0
2087,female,
2088,female,
2089,male,
2090,female,267.0
2091,male,
2092,female,
2093,male,
2094,female,
2095,male,
2096,male,
2097,male,
2098,female,
2099,female,150.0
2100,male,402.0
2101,female,
2102,male,
